Gene stable ID	Gene name	HGNC symbol
ENSG00000215943	MIR892A	MIR892A
ENSG00000216098	MIR892B	MIR892B
ENSG00000216064	MIR891B	MIR891B
ENSG00000202199	RNU1-115P	RNU1-115P
ENSG00000207641	MIR510	MIR510
ENSG00000216056	MIR891A	MIR891A
ENSG00000199424	Y_RNA	
ENSG00000265789	MIR4330	MIR4330
ENSG00000278724	Metazoa_SRP	
ENSG00000222313	RN7SKP267	RN7SKP267
ENSG00000201912	RN7SKP189	RN7SKP189
ENSG00000216171	MIR513C	MIR513C
ENSG00000207871	MIR513B	MIR513B
ENSG00000207873	MIR513A1	MIR513A1
ENSG00000207984	MIR513A2	MIR513A2
ENSG00000207731	MIR506	MIR506
ENSG00000207969	MIR507	MIR507
ENSG00000207589	MIR508	MIR508
ENSG00000252583	MIR514B	MIR514B
ENSG00000212013	MIR509-2	MIR509-2
ENSG00000212014	MIR509-3	MIR509-3
ENSG00000208000	MIR509-1	MIR509-1
ENSG00000202051	RNU6-382P	RNU6-382P
ENSG00000237623	NICN2P	NICN2P
ENSG00000266158	RN7SL785P	RN7SL785P
ENSG00000203402		
ENSG00000221459	SNORA11C	SNORA11C
ENSG00000232009		
ENSG00000226556	NPM1P49	NPM1P49
ENSG00000277605	Metazoa_SRP	
ENSG00000196741	LINC01560	LINC01560
ENSG00000008056	SYN1	SYN1
ENSG00000283743		
ENSG00000263858	MIR4769	MIR4769
ENSG00000224656	SMSP1	SMSP1
ENSG00000229968		
ENSG00000188459	WASF4P	WASF4P
ENSG00000224401	RPL7P57	RPL7P57
ENSG00000102265	TIMP1	TIMP1
ENSG00000147130	ZMYM3	ZMYM3
ENSG00000147166	ITGB1BP2	ITGB1BP2
ENSG00000224208	ZCRB1P1	ZCRB1P1
ENSG00000275975	Metazoa_SRP	
ENSG00000229601		
ENSG00000213018	PABPN1P1	PABPN1P1
ENSG00000199751	Y_RNA	
ENSG00000215120	SOCS6P1	SOCS6P1
ENSG00000186810	CXCR3	CXCR3
ENSG00000155962	CLIC2	CLIC2
ENSG00000225008	TWF1P2	TWF1P2
ENSG00000228986	PHF10P1	PHF10P1
ENSG00000230491	SRD5A2P1	SRD5A2P1
ENSG00000221190	MIR1184-2	MIR1184-2
ENSG00000221603	MIR1184-3	MIR1184-3
ENSG00000277745	H2AB3	H2AB3
ENSG00000185973	TMLHE	TMLHE
ENSG00000237801	AMD1P2	AMD1P2
ENSG00000237040	DPH3P2	DPH3P2
ENSG00000124333	VAMP7	VAMP7
ENSG00000228410	ELOCP24	ELOCP24
ENSG00000223484	TRPC6P1	TRPC6P1
ENSG00000270726		
ENSG00000227159	DDX11L16	DDX11L16
ENSG00000102076	OPN1LW	OPN1LW
ENSG00000268221	OPN1MW	OPN1MW
ENSG00000274962	TEX28P1	TEX28P1
ENSG00000277009	TEX28P3	TEX28P3
ENSG00000207165	SNORA70	SNORA70
ENSG00000071859	FAM50A	FAM50A
ENSG00000276350	MIR6858	MIR6858
ENSG00000130827	PLXNA3	PLXNA3
ENSG00000102178	UBL4A	UBL4A
ENSG00000126903	SLC10A3	SLC10A3
ENSG00000264484	RN7SL697P	RN7SL697P
ENSG00000273041	ATF4P2	ATF4P2
ENSG00000232155		
ENSG00000228464		
ENSG00000231388	FMN2P1	FMN2P1
ENSG00000236160		
ENSG00000216938	RPL7P58	RPL7P58
ENSG00000236683	HMGA1P1	HMGA1P1
ENSG00000252491	RNU1-142P	RNU1-142P
ENSG00000283446		
ENSG00000276391		
ENSG00000147180	ZNF711	ZNF711
ENSG00000226280		
ENSG00000233710		
ENSG00000234201	BMI1P1	BMI1P1
ENSG00000123570	RAB9B	RAB9B
ENSG00000222419	RNA5SP511	RNA5SP511
ENSG00000231787	H2BP9	H2BP9
ENSG00000276298		
ENSG00000234345	ELF2P1	ELF2P1
ENSG00000158427	TMSB15B	TMSB15B
ENSG00000230312	SLC25A53P1	SLC25A53P1
ENSG00000227067	DPPA3P1	DPPA3P1
ENSG00000282840	MSL3-DT	MSL3-DT
ENSG00000223418	LIMK2P1	LIMK2P1
ENSG00000005302	MSL3	MSL3
ENSG00000206792	Y_RNA	
ENSG00000206795	Y_RNA	
ENSG00000223487	FRMPD4-AS1	FRMPD4-AS1
ENSG00000231211	RPL17P49	RPL17P49
ENSG00000273800		
ENSG00000271814	RN7SKP290	RN7SKP290
ENSG00000229083	PSMA6P2	PSMA6P2
ENSG00000230691	MRPL35P4	MRPL35P4
ENSG00000196664	TLR7	TLR7
ENSG00000233338	TLR8-AS1	TLR8-AS1
ENSG00000250084		
ENSG00000278358		
ENSG00000278160		
ENSG00000275643	RBM22P6	RBM22P6
ENSG00000204379	XAGE1A	XAGE1A
ENSG00000223395	RBM22P7	RBM22P7
ENSG00000277289		
ENSG00000231593		
ENSG00000185319	SSX14P	SSX14P
ENSG00000197185	SSX11P	SSX11P
ENSG00000234792		
ENSG00000187754	SSX7	SSX7
ENSG00000228354		
ENSG00000222608	RNA5SP504	RNA5SP504
ENSG00000225508	SSX15P	SSX15P
ENSG00000237275	S100A11P10	S100A11P10
ENSG00000223958		
ENSG00000225397		
ENSG00000229826		
ENSG00000269281	S100A11P8	S100A11P8
ENSG00000226867	SSX21P	SSX21P
ENSG00000204363	SPANXN5	SPANXN5
ENSG00000224781	EIF4A2P4	EIF4A2P4
ENSG00000220541	PPIHP2	PPIHP2
ENSG00000270524	QTRT1P1	QTRT1P1
ENSG00000201674	U3	
ENSG00000207220	RNU1-57P	RNU1-57P
ENSG00000240327	RN7SL93P	RN7SL93P
ENSG00000212611	SNORD30	
ENSG00000211578	MIR766	MIR766
ENSG00000214321	CBX1P4	CBX1P4
ENSG00000238764		
ENSG00000265465	MIR4768	MIR4768
ENSG00000235834		
ENSG00000230020	NHS-AS1	NHS-AS1
ENSG00000226153	CHP1P3	CHP1P3
ENSG00000047634	SCML1	SCML1
ENSG00000227873	FAM136GP	FAM136GP
ENSG00000277150	F8A3	F8A3
ENSG00000184388	PABPC1L2B	PABPC1L2B
ENSG00000175718	RBMXL3	RBMXL3
ENSG00000268447	SSX2B	SSX2B
ENSG00000275520	FAM236A	FAM236A
ENSG00000283463	HSFX4	HSFX4
ENSG00000063587	ZNF275	ZNF275
ENSG00000147117	ZNF157	ZNF157
ENSG00000130021	PUDP	PUDP
ENSG00000130054	NALF2	NALF2
ENSG00000235961	PNMA6A	PNMA6A
ENSG00000188153	COL4A5	COL4A5
ENSG00000134594	RAB33A	RAB33A
ENSG00000056277	ZNF280C	ZNF280C
ENSG00000156709	AIFM1	AIFM1
ENSG00000199564	RNA5SP502	RNA5SP502
ENSG00000238426	Y_RNA	
ENSG00000226641	SHISA5P1	SHISA5P1
ENSG00000264573	RN7SL15P	RN7SL15P
ENSG00000225238	GEMIN7P1	GEMIN7P1
ENSG00000212207	RNU6-1321P	RNU6-1321P
ENSG00000217624	YWHAZP10	YWHAZP10
ENSG00000242559	RN7SL144P	RN7SL144P
ENSG00000171657	GPR82	GPR82
ENSG00000229822	RPS15AP39	RPS15AP39
ENSG00000237875		
ENSG00000251807	RNU6-202P	RNU6-202P
ENSG00000237106	FABP5P15	FABP5P15
ENSG00000200906	RNU6-854P	RNU6-854P
ENSG00000263410	RN7SL460P	RN7SL460P
ENSG00000131174	COX7B	COX7B
ENSG00000234391		
ENSG00000227302	SSX19P	SSX19P
ENSG00000230100		
ENSG00000270747	S100A11P9	S100A11P9
ENSG00000165584	SSX3	SSX3
ENSG00000225055		
ENSG00000234448		
ENSG00000268009	SSX4	SSX4
ENSG00000231603		
ENSG00000231489		
ENSG00000226971		
ENSG00000068438	FTSJ1	FTSJ1
ENSG00000147155	EBP	EBP
ENSG00000286268		
ENSG00000276823	Metazoa_SRP	
ENSG00000202469	Y_RNA	
ENSG00000227042		
ENSG00000207202	RNU6-800P	RNU6-800P
ENSG00000102048	ASB9	ASB9
ENSG00000165192	ASB11	ASB11
ENSG00000165195	PIGA	PIGA
ENSG00000165197	VEGFD	VEGFD
ENSG00000073464	CLCN4	CLCN4
ENSG00000234019		
ENSG00000235224		
ENSG00000231340	ACTG1P10	ACTG1P10
ENSG00000227329		
ENSG00000276575	MIR6895	MIR6895
ENSG00000277474	MIR6894	MIR6894
ENSG00000235262	KDM5C-IT1	KDM5C-IT1
ENSG00000226299	RPSAP62	RPSAP62
ENSG00000207408	Y_RNA	
ENSG00000236571		
ENSG00000234413	MPV17L2P1	MPV17L2P1
ENSG00000278204	MIR6857	MIR6857
ENSG00000158423	RIBC1	RIBC1
ENSG00000233250		
ENSG00000235416	TIPINP1	TIPINP1
ENSG00000199422	VTRNA3-1P	VTRNA3-1P
ENSG00000224942	EEDP1	EEDP1
ENSG00000275268	U7	
ENSG00000225758	RPS17P17	RPS17P17
ENSG00000134595	SOX3	SOX3
ENSG00000130829	DUSP9	DUSP9
ENSG00000237793	RPL18AP16	RPL18AP16
ENSG00000244335	RN7SL687P	RN7SL687P
ENSG00000130822	PNCK	PNCK
ENSG00000185825	BCAP31	BCAP31
ENSG00000101986	ABCD1	ABCD1
ENSG00000198753	PLXNB3	PLXNB3
ENSG00000184343	SRPK3	SRPK3
ENSG00000180879	SSR4	SSR4
ENSG00000184844	CYCSP45	CYCSP45
ENSG00000198910	L1CAM	L1CAM
ENSG00000284987		
ENSG00000102032	RENBP	RENBP
ENSG00000172534	HCFC1	HCFC1
ENSG00000177854	TMEM187	TMEM187
ENSG00000265176	MIR3202-1	MIR3202-1
ENSG00000283694	MIR3202-2	MIR3202-2
ENSG00000284286	MIR718	MIR718
ENSG00000202024	RNU6-934P	RNU6-934P
ENSG00000126953	TIMM8A	TIMM8A
ENSG00000241343	RPL36A	RPL36A
ENSG00000257529	RPL36A-HNRNPH2	RPL36A-HNRNPH2
ENSG00000126945	HNRNPH2	HNRNPH2
ENSG00000262919	CCNQ	CCNQ
ENSG00000217889	KRT18P48	KRT18P48
ENSG00000130821	SLC6A8	SLC6A8
ENSG00000229324	NUTF2P7	NUTF2P7
ENSG00000212605	RNU1-56P	RNU1-56P
ENSG00000147164	SNX12	SNX12
ENSG00000204165	CXorf65	CXorf65
ENSG00000285171		
ENSG00000169562	GJB1	GJB1
ENSG00000271886	MIR98	MIR98
ENSG00000208012	MIRLET7F2	MIRLET7F2
ENSG00000131263	RLIM	RLIM
ENSG00000230673	PABPC1P3	PABPC1P3
ENSG00000199885	RNU6-330P	RNU6-330P
ENSG00000271589		
ENSG00000050030	NEXMIF	NEXMIF
ENSG00000214016	RPSAP61	RPSAP61
ENSG00000242065	RN7SL291P	RN7SL291P
ENSG00000189037	DUSP21	DUSP21
ENSG00000147113	DIPK2B	DIPK2B
ENSG00000230934		
ENSG00000237182		
ENSG00000237717		
ENSG00000224617		
ENSG00000229030		
ENSG00000230162	CT45A11P	CT45A11P
ENSG00000219930	GAPDHP67	GAPDHP67
ENSG00000231513	E2F6P4	E2F6P4
ENSG00000239080		
ENSG00000214720	KRT18P49	KRT18P49
ENSG00000147224	PRPS1	PRPS1
ENSG00000275113	GAGE2E	GAGE2E
ENSG00000236737	GAGE12B	GAGE12B
ENSG00000213856	VDAC1P2	VDAC1P2
ENSG00000227391	SALL1P1	SALL1P1
ENSG00000068985	PAGE1	PAGE1
ENSG00000252454	MIR2114	MIR2114
ENSG00000234825	XRCC6P2	XRCC6P2
ENSG00000271339		
ENSG00000231164	RPL7P56	RPL7P56
ENSG00000232611		
ENSG00000225400	RAB28P5	RAB28P5
ENSG00000147274	RBMX	RBMX
ENSG00000232379	RPL22P23	RPL22P23
ENSG00000237307	SRRM1P3	SRRM1P3
ENSG00000165370	GPR101	GPR101
ENSG00000224031	TCEAL3-AS1	TCEAL3-AS1
ENSG00000172465	TCEAL1	TCEAL1
ENSG00000123562	MORF4L2	MORF4L2
ENSG00000179363	TMEM31	TMEM31
ENSG00000269743	SLC25A53	SLC25A53
ENSG00000102007	PLP2	PLP2
ENSG00000012211	PRICKLE3	PRICKLE3
ENSG00000102001	CACNA1F	CACNA1F
ENSG00000230216	HSPB1P2	HSPB1P2
ENSG00000101997	CCDC22	CCDC22
ENSG00000049769	PPP1R3F	PPP1R3F
ENSG00000270012		
ENSG00000286031		
ENSG00000147118	ZNF182	ZNF182
ENSG00000221994	ZNF630	ZNF630
ENSG00000277541	ZNF630-AS1	ZNF630-AS1
ENSG00000230241		
ENSG00000233139		
ENSG00000201517	RNU6-707P	RNU6-707P
ENSG00000225198	SSX13P	SSX13P
ENSG00000238032	S100A11P5	S100A11P5
ENSG00000234780		
ENSG00000252856	RNA5SP503	RNA5SP503
ENSG00000204368	SSX20P	SSX20P
ENSG00000231568	S100A11P7	S100A11P7
ENSG00000229662		
ENSG00000237345		
ENSG00000184788	SATL1	SATL1
ENSG00000188021	UBQLN2	UBQLN2
ENSG00000185985	SLITRK2	SLITRK2
ENSG00000101911	PRPS2	PRPS2
ENSG00000085224	ATRX	ATRX
ENSG00000083750	RRAGB	RRAGB
ENSG00000101842	VSIG1	VSIG1
ENSG00000126759	CFP	CFP
ENSG00000000005	TNMD	TNMD
ENSG00000238116	RAD21P1	RAD21P1
ENSG00000202231		
ENSG00000237708	SPIN2P1	SPIN2P1
ENSG00000222303	RNU6-935P	RNU6-935P
ENSG00000287160		
ENSG00000271677		
ENSG00000238188	SPRING1P2	SPRING1P2
ENSG00000147256	ARHGAP36	ARHGAP36
ENSG00000241198	RN7SL191P	RN7SL191P
ENSG00000269405	NXF2	NXF2
ENSG00000273746		
ENSG00000231590		
ENSG00000158164	TMSB15A	TMSB15A
ENSG00000271005	CTHRC1P1	CTHRC1P1
ENSG00000102010	BMX	BMX
ENSG00000285602		
ENSG00000237539		
ENSG00000200620		
ENSG00000281371	INE2	INE2
ENSG00000182287	AP1S2	AP1S2
ENSG00000200566	RNU5F-7P	RNU5F-7P
ENSG00000226536	SETP15	SETP15
ENSG00000169188	APEX2	APEX2
ENSG00000158578	ALAS2	ALAS2
ENSG00000278283		
ENSG00000234466	HDGFL3P1	HDGFL3P1
ENSG00000238269	PAGE2B	PAGE2B
ENSG00000234068	PAGE2	PAGE2
ENSG00000278319		
ENSG00000276929		
ENSG00000186678		
ENSG00000229760	MTCO1P52	MTCO1P52
ENSG00000231947	MTND2P24	MTND2P24
ENSG00000238047	MTND1P30	MTND1P30
ENSG00000196924	FLNA	FLNA
ENSG00000147003	CLTRN	CLTRN
ENSG00000147403	RPL10	RPL10
ENSG00000072501	SMC1A	SMC1A
ENSG00000198689	SLC9A6	SLC9A6
ENSG00000283775	MIR4329	MIR4329
ENSG00000243011	RN7SL266P	RN7SL266P
ENSG00000273773		
ENSG00000213338	ATF4P1	ATF4P1
ENSG00000237619	OR3B1P	OR3B1P
ENSG00000228089	PNKDP1	PNKDP1
ENSG00000235190		
ENSG00000200587	RNA5SP514	RNA5SP514
ENSG00000134602	STK26	STK26
ENSG00000228819	AGKP2	AGKP2
ENSG00000123728	RAP2C	RAP2C
ENSG00000123560	PLP1	PLP1
ENSG00000228158	TLE1P1	TLE1P1
ENSG00000227534	AP1M2P1	AP1M2P1
ENSG00000227942	FRMD8P1	FRMD8P1
ENSG00000147140	NONO	NONO
ENSG00000120280	TASL	TASL
ENSG00000178556	CKS1BP6	CKS1BP6
ENSG00000232368	FTLP2	FTLP2
ENSG00000229331	GK-IT1	GK-IT1
ENSG00000241886		
ENSG00000243055	GK-AS1	GK-AS1
ENSG00000277876		
ENSG00000231542	TAB3-AS1	TAB3-AS1
ENSG00000235512	TAB3-AS2	TAB3-AS2
ENSG00000102230	PCYT1B	PCYT1B
ENSG00000226222	H2BP7	H2BP7
ENSG00000236836	PCYT1B-AS1	PCYT1B-AS1
ENSG00000236487		
ENSG00000101868	POLA1	POLA1
ENSG00000251869	SCARNA23	SCARNA23
ENSG00000232472	EEF1B2P3	EEF1B2P3
ENSG00000004848	ARX	ARX
ENSG00000214111	PAFAH1B2P1	PAFAH1B2P1
ENSG00000240439	RN7SL91P	RN7SL91P
ENSG00000182484	WASH6P	WASH6P
ENSG00000234230	ZFX-AS1	ZFX-AS1
ENSG00000225071	RPS26P58	RPS26P58
ENSG00000131089	ARHGEF9	ARHGEF9
ENSG00000231729	ARHGEF9-IT1	ARHGEF9-IT1
ENSG00000236813	BTF3P8	BTF3P8
ENSG00000222532	MIR1468	MIR1468
ENSG00000166707	ZCCHC18	ZCCHC18
ENSG00000158639	PAGE5	PAGE5
ENSG00000102387	TAF7L	TAF7L
ENSG00000005889	ZFX	ZFX
ENSG00000126752	SSX1	SSX1
ENSG00000197779	ZNF81	ZNF81
ENSG00000080561	MID2	MID2
ENSG00000120498	TEX11	TEX11
ENSG00000147138	GPR174	GPR174
ENSG00000125354	SEPTIN6	SEPTIN6
ENSG00000022267	FHL1	FHL1
ENSG00000131269	ABCB7	ABCB7
ENSG00000266828	RN7SL712P	RN7SL712P
ENSG00000231371	AKR1B1P8	AKR1B1P8
ENSG00000234558	API5P1	API5P1
ENSG00000180772	AGTR2	AGTR2
ENSG00000188706	ZDHHC9	ZDHHC9
ENSG00000238040	SALL4P2	SALL4P2
ENSG00000156697	UTP14A	UTP14A
ENSG00000085185	BCORL1	BCORL1
ENSG00000288680		
ENSG00000207146	Y_RNA	
ENSG00000133124	IRS4	IRS4
ENSG00000279894		
ENSG00000196507	TCEAL3	TCEAL3
ENSG00000288597		
ENSG00000123575	FAM199X	FAM199X
ENSG00000123576	ESX1	ESX1
ENSG00000182378	PLCXD1	PLCXD1
ENSG00000268651	CTAG1A	CTAG1A
ENSG00000171388	APLN	APLN
ENSG00000122121	XPNPEP2	XPNPEP2
ENSG00000122122	SASH3	SASH3
ENSG00000240143		
ENSG00000275070	Metazoa_SRP	
ENSG00000078061	ARAF	ARAF
ENSG00000230781		
ENSG00000101938	CHRDL1	CHRDL1
ENSG00000226112	FCF1P4	FCF1P4
ENSG00000234349	GLUD1P9	GLUD1P9
ENSG00000077274	CAPN6	CAPN6
ENSG00000251954	RNU6-496P	RNU6-496P
ENSG00000223904	HMGB1P12	HMGB1P12
ENSG00000229939		
ENSG00000225031	EIF4BP7	EIF4BP7
ENSG00000102359	SRPX2	SRPX2
ENSG00000101892	ATP1B4	ATP1B4
ENSG00000251707	RNU7-37P	RNU7-37P
ENSG00000232119	MCTS1	MCTS1
ENSG00000171155	C1GALT1C1	C1GALT1C1
ENSG00000278317	H3P46	H3P46
ENSG00000181511	GLRX5P1	GLRX5P1
ENSG00000158290	CUL4B	CUL4B
ENSG00000238200	MGAT2P2	MGAT2P2
ENSG00000269096	CT45A3	CT45A3
ENSG00000278289	CT45A6	CT45A6
ENSG00000271449	CT45A2	CT45A2
ENSG00000278085	CT45A8	CT45A8
ENSG00000270946	CT45A9	CT45A9
ENSG00000207633	MIR505	MIR505
ENSG00000203933	CXorf66	CXorf66
ENSG00000214653	HNRNPA3P3	HNRNPA3P3
ENSG00000241248	RN7SL727P	RN7SL727P
ENSG00000212663		
ENSG00000208013	MIR652	MIR652
ENSG00000265584	MIR3978	MIR3978
ENSG00000208883	SNORD96B	SNORD96B
ENSG00000224142	AMMECR1-IT1	AMMECR1-IT1
ENSG00000287685		
ENSG00000279601		
ENSG00000187808	SOWAHD	SOWAHD
ENSG00000198918	RPL39	RPL39
ENSG00000206622	SNORA69	SNORA69
ENSG00000125352	RNF113A	RNF113A
ENSG00000125356	NDUFA1	NDUFA1
ENSG00000186471	AKAP14	AKAP14
ENSG00000101882	NKAP	NKAP
ENSG00000263972	MIR1587	MIR1587
ENSG00000214047	RPS11P7	RPS11P7
ENSG00000285709		
ENSG00000214045	IMPDH1P2	IMPDH1P2
ENSG00000206677	Y_RNA	
ENSG00000183337	BCOR	BCOR
ENSG00000132446	FTHL17	FTHL17
ENSG00000252903	RNU6-894P	RNU6-894P
ENSG00000285900		
ENSG00000222922	RNA5SP501	RNA5SP501
ENSG00000236285	NPM1P8	NPM1P8
ENSG00000263600	MIR3915	MIR3915
ENSG00000221348	MIR548F5	MIR548F5
ENSG00000236828	DMD-AS3	DMD-AS3
ENSG00000226781	TBCAP1	TBCAP1
ENSG00000215310		
ENSG00000265170	RN7SL667P	RN7SL667P
ENSG00000189369	GSPT2	GSPT2
ENSG00000236576		
ENSG00000252377	RNU6-504P	RNU6-504P
ENSG00000260118		
ENSG00000228328	PGK1P1	PGK1P1
ENSG00000252145	RNU6-1225P	RNU6-1225P
ENSG00000228125	AKIRIN1P2	AKIRIN1P2
ENSG00000206646	Y_RNA	
ENSG00000225925		
ENSG00000181704	YIPF6	YIPF6
ENSG00000206747	RNU6-245P	RNU6-245P
ENSG00000079482	OPHN1	OPHN1
ENSG00000160131	VMA21	VMA21
ENSG00000270052		
ENSG00000071553	ATP6AP1	ATP6AP1
ENSG00000186787	SPIN2B	SPIN2B
ENSG00000165583	SSX5	SSX5
ENSG00000165376	CLDN2	CLDN2
ENSG00000102385	DRP2	DRP2
ENSG00000283697	HSFX3	HSFX3
ENSG00000198205	ZXDA	ZXDA
ENSG00000176774	MAGEB18	MAGEB18
ENSG00000232446		
ENSG00000227511		
ENSG00000176746	MAGEB6	MAGEB6
ENSG00000232644		
ENSG00000188408	MAGEB5	MAGEB5
ENSG00000237171		
ENSG00000178146	GK4P	GK4P
ENSG00000215168	ATXN7L3P1	ATXN7L3P1
ENSG00000237294	EIF4BP9	EIF4BP9
ENSG00000231356	MTFR1P1	MTFR1P1
ENSG00000226820		
ENSG00000224236	MRRFP1	MRRFP1
ENSG00000125675	GRIA3	GRIA3
ENSG00000179101	H3P47	H3P47
ENSG00000232111		
ENSG00000282306		
ENSG00000282501		
ENSG00000282358		
ENSG00000282668		
ENSG00000282299		
ENSG00000282697		
ENSG00000282222		
ENSG00000281955		
ENSG00000281941		
ENSG00000282300		
ENSG00000101849	TBL1X	TBL1X
ENSG00000101850	GPR143	GPR143
ENSG00000198759	EGFL6	EGFL6
ENSG00000233357	RPL30P15	RPL30P15
ENSG00000283493	MIR6086	MIR6086
ENSG00000199622	RN7SKP20	RN7SKP20
ENSG00000123595	RAB9A	RAB9A
ENSG00000046651	OFD1	OFD1
ENSG00000288053		
ENSG00000206936	RNU4-52P	RNU4-52P
ENSG00000068394	GPKOW	GPKOW
ENSG00000265033	RN7SL262P	RN7SL262P
ENSG00000279422		
ENSG00000123584	MAGEA9	MAGEA9
ENSG00000224089	CT47A10	CT47A10
ENSG00000226600	CT47A9	CT47A9
ENSG00000230347	CT47A8	CT47A8
ENSG00000226023	CT47A6	CT47A6
ENSG00000237957	CT47A5	CT47A5
ENSG00000230594	CT47A4	CT47A4
ENSG00000236126	CT47A3	CT47A3
ENSG00000242362	CT47A2	CT47A2
ENSG00000268738	HSFX2	HSFX2
ENSG00000212747	RTL8B	RTL8B
ENSG00000134590	RTL8C	RTL8C
ENSG00000286964		
ENSG00000203950	RTL8A	RTL8A
ENSG00000234228	NCLP2	NCLP2
ENSG00000196972	SMIM10L2B	SMIM10L2B
ENSG00000224107	ETDB	ETDB
ENSG00000223809		
ENSG00000232582		
ENSG00000169551	CT55	CT55
ENSG00000236491		
ENSG00000228922		
ENSG00000269833		
ENSG00000238210	ETDA	ETDA
ENSG00000274024		
ENSG00000283644	ETDC	ETDC
ENSG00000173275	ZNF449	ZNF449
ENSG00000178947	SMIM10L2A	SMIM10L2A
ENSG00000201440	RNA5SP515	RNA5SP515
ENSG00000225769	CROCCP1	CROCCP1
ENSG00000273988		
ENSG00000271158	WDR4P1	WDR4P1
ENSG00000123131	PRDX4	PRDX4
ENSG00000123130	ACOT9	ACOT9
ENSG00000202272	Y_RNA	
ENSG00000184831	APOO	APOO
ENSG00000238103	RPL9P7	RPL9P7
ENSG00000165182	CXorf58	CXorf58
ENSG00000130830	MPP1	MPP1
ENSG00000229237	HMGN1P37	HMGN1P37
ENSG00000274183	H2AB1	H2AB1
ENSG00000288722	F8A1	F8A1
ENSG00000224069		
ENSG00000237859	EEF1A1P31	EEF1A1P31
ENSG00000233688	ZNF622P1	ZNF622P1
ENSG00000176318	FOXN3P1	FOXN3P1
ENSG00000227211	H3P45	H3P45
ENSG00000198932	GPRASP1	GPRASP1
ENSG00000252294	RNU6-589P	RNU6-589P
ENSG00000230320	BEND7P1	BEND7P1
ENSG00000286237	ARMCX5-GPRASP2	ARMCX5-GPRASP2
ENSG00000198908	GPRASP3	GPRASP3
ENSG00000215000	GAPDHP77	GAPDHP77
ENSG00000101890	GUCY2F	GUCY2F
ENSG00000101888	NXT2	NXT2
ENSG00000233874	MFN1P1	MFN1P1
ENSG00000176076	KCNE5	KCNE5
ENSG00000068366	ACSL4	ACSL4
ENSG00000237319		
ENSG00000252069	Y_RNA	
ENSG00000225381	RPS5P7	RPS5P7
ENSG00000277858	H2AB2	H2AB2
ENSG00000288709	F8A2	F8A2
ENSG00000183479	TREX2	TREX2
ENSG00000224341	AKR7A2P2	AKR7A2P2
ENSG00000231270	COBLP1	COBLP1
ENSG00000235483	GYG2-AS1	GYG2-AS1
ENSG00000006756	ARSD	ARSD
ENSG00000229851	ARSD-AS1	ARSD-AS1
ENSG00000205667	ARSH	ARSH
ENSG00000062096	ARSF	ARSF
ENSG00000239228	RN7SL578P	RN7SL578P
ENSG00000230249	RPS24P21	RPS24P21
ENSG00000226784	PGAM4	PGAM4
ENSG00000187325	TAF9B	TAF9B
ENSG00000223592	FNDC3CP	FNDC3CP
ENSG00000157399	ARSL	ARSL
ENSG00000232282	MTND1P32	MTND1P32
ENSG00000229954	MTND2P2	MTND2P2
ENSG00000237300	MTCO1P19	MTCO1P19
ENSG00000237628	MTCO2P19	MTCO2P19
ENSG00000228316	MTATP6P19	MTATP6P19
ENSG00000224471	MTCO3P19	MTCO3P19
ENSG00000226056	MTND4P32	MTND4P32
ENSG00000234886	MTND5P26	MTND5P26
ENSG00000227649	MTND6P32	MTND6P32
ENSG00000229794	MTCYBP32	MTCYBP32
ENSG00000202304	RNU6-1130P	RNU6-1130P
ENSG00000225046		
ENSG00000102078	SLC25A14	SLC25A14
ENSG00000147262	GPR119	GPR119
ENSG00000271286	CYTH1P1	CYTH1P1
ENSG00000224396	METTL15P3	METTL15P3
ENSG00000201095	RNU6-266P	RNU6-266P
ENSG00000231011		
ENSG00000237019		
ENSG00000102174	PHEX	PHEX
ENSG00000270794		
ENSG00000099399	MAGEB2	MAGEB2
ENSG00000120289	MAGEB4	MAGEB4
ENSG00000276940	PLCE1P1	PLCE1P1
ENSG00000102287	GABRE	GABRE
ENSG00000284363	MIR224	MIR224
ENSG00000283751	MIR452	MIR452
ENSG00000102119	EMD	EMD
ENSG00000147234	FRMPD3	FRMPD3
ENSG00000230146	SEPHS1P4	SEPHS1P4
ENSG00000274655		
ENSG00000277577		
ENSG00000278039		
ENSG00000182707	FXYD6P3	FXYD6P3
ENSG00000274430		
ENSG00000276784		
ENSG00000271199		
ENSG00000203397	SHISA5P2	SHISA5P2
ENSG00000223650	UHRF2P1	UHRF2P1
ENSG00000232928	DDX3P1	DDX3P1
ENSG00000280375		
ENSG00000230986	DDX3P2	DDX3P2
ENSG00000224430	MKRN5P	MKRN5P
ENSG00000196459	TRAPPC2	TRAPPC2
ENSG00000232801	SDCBPP3	SDCBPP3
ENSG00000189145	RPL32P36	RPL32P36
ENSG00000216866	RPS2P55	RPS2P55
ENSG00000287549		
ENSG00000237931	CLIC4P3	CLIC4P3
ENSG00000225839	TRMT2B-AS1	TRMT2B-AS1
ENSG00000126950	TMEM35A	TMEM35A
ENSG00000102384	CENPI	CENPI
ENSG00000231643	YWHAQP8	YWHAQP8
ENSG00000213397	HAUS7	HAUS7
ENSG00000130066	SAT1	SAT1
ENSG00000214107	MAGEB1	MAGEB1
ENSG00000171054	OR13H1	OR13H1
ENSG00000171478	SPACA5B	SPACA5B
ENSG00000130052	STARD8	STARD8
ENSG00000198798	MAGEB3	MAGEB3
